"components/6630b072fe12fd0286b67afa/_html/","<h3>For each statement, choose the option that best describes your ability: Never (1 point), Rarely (2 points), Sometimes (3 points), Often (4 points), Always (5 points).</h3>"
"components/6630b90d1d18920250d45e94/title/","Question"
"components/6630b90d1d18920250d45e94/displayTitle/","Question"
"components/6630b90d1d18920250d45e94/body/","Basic Computer Operation"
"components/6630b90d1d18920250d45e94/questionTitle/","Statements"
"components/6630b90d1d18920250d45e94/optionTitle/","Categories"
"components/6630b90d1d18920250d45e94/placeholder/","Select"
"components/6630b90d1d18920250d45e94/_items/0/text/","I can turn a computer on and off."
"components/6630b90d1d18920250d45e94/_items/0/_options/0/text/","Never"
"components/6630b90d1d18920250d45e94/_items/0/_options/1/text/","Rarely"
"components/6630b90d1d18920250d45e94/_items/0/_options/2/text/","Sometimes"
"components/6630b90d1d18920250d45e94/_items/0/_options/3/text/","Often"
"components/6630b90d1d18920250d45e94/_items/0/_options/4/text/","Always"
"components/6630b90d1d18920250d45e94/_items/1/text/","I can open, save, and manage files and folders."
"components/6630b90d1d18920250d45e94/_items/1/_options/0/text/","Never"
"components/6630b90d1d18920250d45e94/_items/1/_options/1/text/","Rarely"
"components/6630b90d1d18920250d45e94/_items/1/_options/2/text/","Sometimes"
"components/6630b90d1d18920250d45e94/_items/1/_options/3/text/","Often"
"components/6630b90d1d18920250d45e94/_items/1/_options/4/text/","Always"
"components/6630b90d1d18920250d45e94/_items/2/text/","I can install and update software applications."
"components/6630b90d1d18920250d45e94/_items/2/_options/0/text/","Never"
"components/6630b90d1d18920250d45e94/_items/2/_options/1/text/","Rarely"
"components/6630b90d1d18920250d45e94/_items/2/_options/2/text/","Sometimes"
"components/6630b90d1d18920250d45e94/_items/2/_options/3/text/","Often"
"components/6630b90d1d18920250d45e94/_items/2/_options/4/text/","Always"
"components/6630b90d1d18920250d45e94/_feedback/correct/","Correct feedback!"
"components/6630b90d1d18920250d45e94/_feedback/_incorrect/final/","Incorrect feedback!"
"components/6630b90d1d18920250d45e94/_feedback/_partlyCorrect/final/","Partially correct feedback!"
