"components/6630b072fe12fd0286b67afa/_html/","<h3>Para cada declaração, selecione a opção que melhor descreve sua capacidade: Nunca (1 ponto), Raramente (2 pontos), Às vezes (3 pontos), Geralmente (4 pontos), Sempre (5 pontos).</h3>"
"components/6630b90d1d18920250d45e94/title/","Questão"
"components/6630b90d1d18920250d45e94/displayTitle/","Questão"
"components/6630b90d1d18920250d45e94/body/","Uso básico do computador"
"components/6630b90d1d18920250d45e94/questionTitle/","Declarações"
"components/6630b90d1d18920250d45e94/optionTitle/","Categorias"
"components/6630b90d1d18920250d45e94/placeholder/","Selecione"
"components/6630b90d1d18920250d45e94/_items/0/text/","Eu consigo ligar e desligar um computador."
"components/6630b90d1d18920250d45e94/_items/0/_options/0/text/","Nunca"
"components/6630b90d1d18920250d45e94/_items/0/_options/1/text/","Raramente"
"components/6630b90d1d18920250d45e94/_items/0/_options/2/text/","Às vezes"
"components/6630b90d1d18920250d45e94/_items/0/_options/3/text/","Geralmente"
"components/6630b90d1d18920250d45e94/_items/0/_options/4/text/","Sempre"
"components/6630b90d1d18920250d45e94/_items/1/text/","Eu consigo abrir, salvar, e gerenciar arquivos e pastas."
"components/6630b90d1d18920250d45e94/_items/1/_options/0/text/","Nunca"
"components/6630b90d1d18920250d45e94/_items/1/_options/1/text/","Raramente"
"components/6630b90d1d18920250d45e94/_items/1/_options/2/text/","Às vezes"
"components/6630b90d1d18920250d45e94/_items/1/_options/3/text/","Geralmente"
"components/6630b90d1d18920250d45e94/_items/1/_options/4/text/","Sempre"
"components/6630b90d1d18920250d45e94/_items/2/text/","Eu consigo instalar e atualizar softwares e aplicativos."
"components/6630b90d1d18920250d45e94/_items/2/_options/0/text/","Nunca"
"components/6630b90d1d18920250d45e94/_items/2/_options/1/text/","Raramente"
"components/6630b90d1d18920250d45e94/_items/2/_options/2/text/","Às vezes"
"components/6630b90d1d18920250d45e94/_items/2/_options/3/text/","Geralmente"
"components/6630b90d1d18920250d45e94/_items/2/_options/4/text/","Sempre"
"components/6630b90d1d18920250d45e94/_feedback/correct/","Resposta correta!"
"components/6630b90d1d18920250d45e94/_feedback/_incorrect/final/","Resposta incorreta!"
"components/6630b90d1d18920250d45e94/_feedback/_partlyCorrect/final/","Resposta parcialmente correta!"
"components/6630b90d1d18920250d45e94/_buttons/_submit/buttonText/","Enviar"
"components/6630b90d1d18920250d45e94/_buttons/_submit/ariaLabel/","Toque aqui para enviar sua resposta."
"components/6630b90d1d18920250d45e94/_buttons/_reset/buttonText/","Reiniciar"
"components/6630b90d1d18920250d45e94/_buttons/_showCorrectAnswer/buttonText/","Resposta correta"
"components/6630b90d1d18920250d45e94/_buttons/_hideCorrectAnswer/buttonText/","Minha resposta"
"components/6630b90d1d18920250d45e94/_buttons/_showFeedback/buttonText/","Ver resposta"
"components/6630b90d1d18920250d45e94/_buttons/remainingAttemptsText/","tentativas restantes"
"components/6630b90d1d18920250d45e94/_buttons/remainingAttemptText/","tentativa final"
"components/6630d9451baafd0375c689b8/_html/","
<p>É hora de ver o que você aprendeu, e o que você ainda precisa aprender. Cursos como este lhe ajudam bastante em sua jornada digital, mas você também pode descobrir muito sobre as respostas às suas perguntas você mesmo e aprender as habilidades que você precisa para fazer as coisas que você quer fazer. Mas antes, você precisa saber quais são essas habilidades para aprendê-las. Vamos fazer um questionário.</p>"
"components/6630da6c1baafd0375c689b9/title/","Inscreva-se em uma plataforma de aprendizado online"
"components/6630da6c1baafd0375c689b9/body/","<p>Assista ao vídeo, depois complete o&nbsp;Questionário autoavaliativo de alfabetização digital.</p>"
