"components/66477ffe9a57a20762b44463/title/","New Component Title"
"components/66477ffe9a57a20762b44463/_html/","<h2>Final Assessment.</h2><strong> Well done for reaching this point. You're almost at the end of course one.</strong>

<p>Once you've completed the Final Assessment, you'll be ready to move on to course two.</p>"
"components/6656f750886e2d110c1ab1d1/title/","Question"
"components/6656f750886e2d110c1ab1d1/displayTitle/","Question"
"components/6656f750886e2d110c1ab1d1/body/","<p>Windows and Android are examples of what?</p>"
"components/6656f750886e2d110c1ab1d1/_items/0/text/","Operating systems"
"components/6656f750886e2d110c1ab1d1/_items/1/text/","Web browsers"
"components/6656f750886e2d110c1ab1d1/_items/2/text/","Digital environments"
"components/6656f750886e2d110c1ab1d1/_items/3/text/","Specialized tools"
"components/6656f75a361e1f10735620dc/title/","Question"
"components/6656f75a361e1f10735620dc/displayTitle/","Question"
"components/6656f75a361e1f10735620dc/body/","<p>What was a key feature of Web 2.0?</p>"
"components/6656f75a361e1f10735620dc/_items/0/text/","Increased interactivity of websites"
"components/6656f75a361e1f10735620dc/_items/1/text/"," Slow connection speeds"
"components/6656f75a361e1f10735620dc/_items/2/text/"," Text-only websites"
"components/6656f75a361e1f10735620dc/_items/3/text/","Lack of video content"
"components/6656f764886e2d110c1ab1d3/title/","Question"
"components/6656f764886e2d110c1ab1d3/displayTitle/","Question"
"components/6656f764886e2d110c1ab1d3/body/","<p>What is the Internet of Things (IoT)?</p>"
"components/6656f764886e2d110c1ab1d3/_items/0/text/","Embedding everyday objects with technology to connect to the internet"
"components/6656f764886e2d110c1ab1d3/_items/1/text/","E-commerce services selling a variety of products"
"components/6656f764886e2d110c1ab1d3/_items/2/text/","Faster internet speeds"
"components/6656f764886e2d110c1ab1d3/_items/3/text/","Hardware enabling internet connection"
"components/6656f76de2f1800f7c9cc751/title/","Question"
"components/6656f76de2f1800f7c9cc751/displayTitle/","Question"
"components/6656f76de2f1800f7c9cc751/body/","<p>Where can you find icons such as date and time, web browser, battery status or internet connection?</p>"
"components/6656f76de2f1800f7c9cc751/_items/0/text/","The taskbar"
"components/6656f76de2f1800f7c9cc751/_items/1/text/","In your storage space"
"components/6656f76de2f1800f7c9cc751/_items/2/text/","In advanced settings"
"components/6656f76de2f1800f7c9cc751/_items/3/text/","In the system interface"
"components/6656f778e2f1800f7c9cc753/title/","Question"
"components/6656f778e2f1800f7c9cc753/displayTitle/","Question"
"components/6656f778e2f1800f7c9cc753/body/","<p>Which type of password is not typed?</p>"
"components/6656f778e2f1800f7c9cc753/_items/0/text/","Biometric"
"components/6656f778e2f1800f7c9cc753/_items/1/text/","System-generated"
"components/6656f778e2f1800f7c9cc753/_items/2/text/","Pattern-based"
"components/6656f778e2f1800f7c9cc753/_items/3/text/","Alphanumeric"
"components/6656f783886e2d110c1ab1d5/title/","Question"
"components/6656f783886e2d110c1ab1d5/displayTitle/","Question"
"components/6656f783886e2d110c1ab1d5/body/","<p>How can you rename an existing folder?</p>"
"components/6656f783886e2d110c1ab1d5/_items/0/text/","By right-clicking the folder and selecting ""rename"" from the drop-down menu"
"components/6656f783886e2d110c1ab1d5/_items/1/text/","By double-clicking the folder and selecting ""rename"" from the drop-down menu"
"components/6656f783886e2d110c1ab1d5/_items/2/text/","By dragging and dropping the folder"
"components/6656f783886e2d110c1ab1d5/_items/3/text/","By left-clicking the folder and selecting ""rename"" from the drop-down menu"
"components/6656faca99b282111878cf65/title/","Question"
"components/6656faca99b282111878cf65/displayTitle/","Question"
"components/6656faca99b282111878cf65/body/","<p>What is the purpose of using quotes in a search query?</p>"
"components/6656faca99b282111878cf65/_items/0/text/","To fetch pages with the exact wording of the query"
"components/6656faca99b282111878cf65/_items/1/text/","To exclude certain words from the search results"
"components/6656faca99b282111878cf65/_items/2/text/","To search for a specific file type"
"components/6656faca99b282111878cf65/_items/3/text/","To focus the search on a single website"
"components/6656fad699b282111878cf67/title/","Question"
"components/6656fad699b282111878cf67/displayTitle/","Question"
"components/6656fad699b282111878cf67/body/","<p>What is the function of the 'site:' operator in a search query?</p>"
